"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"353","Normal",40,5,3,0,0,10,0,439,17856,70,9.267106942,1.367528348,5.540244569,7.576441503,47,2209,40,17856,70,38.98767401,47,1600
"3570","Normal",29,1,2,0,0,6,0,35,1015,33,1.4040757,1.562963477,2.309994169,3.610436519,29,841,29,1015,33,25.41371958,29,841
"11567","Normal",35,6,3,0,0,3,0,61,2160,56,7.487694824,2.176871051,3.974873734,8.652787565,37,1369,35,2160,56,32.22080582,37,1225
"18599","Disease A",61,3,5,1,0,17,2,50,3088,100,14.32968946,1.488030351,3.925739316,5.841619253,72,5184,61,3088,100,54.28756764,72,3721
"12653","Normal",43,12,1,0,0,1,0,506,21782,99,13.70172085,1.863065305,5.473646297,10.19776051,57,3249,43,21782,99,41.56325243,57,1849
"4408","Normal",37,23,3,0,0,5,0,96,3604,64,8.805183133,2.379612937,4.901306586,11.66321256,46,2116,37,3604,64,33.58524602,46,1369
"1493","Normal",39,6,2,0,0,4,0,32,1276,54,7.64852927,1.922743818,2.566769817,4.935240796,47,2209,39,1276,54,32.16607297,47,1521
"10701","Normal",35,6,6,0,0,3,0,510,18254,55,6.072599986,1.989014118,5.128961955,10.20157774,39,1521,35,18254,55,33.55761799,39,1225
"28885","Disease A",49,2,0,0,0,2,0,31,1527,66,6.40060481,2.280176038,0.822554925,1.875570029,50,2500,49,1527,66,36.92276158,50,2401
"15463","Disease A",73,3,6,2,0,39,6,105,7687,146,29.61515056,1.857376622,2.289427301,4.252328747,85,7225,73,7687,146,66.01673669,85,5329
"8073","Normal",34,5,2,0,0,8,0,237,8185,50,4.766266839,1.388665568,3.943325097,5.475959784,35,1225,34,8185,50,31.00442326,35,1156
"4649","Normal",40,12,1,0,0,6,0,108,4358,58,7.796604199,2.340272519,3.171286321,7.421674226,43,1849,40,4358,58,34.18048501,43,1600
"29078","Disease A",44,3,0,0,0,6,1,47,2076,55,4.344230706,1.983737728,1.310299719,2.599290988,44,1936,44,2076,55,36.87067681,44,1936
"23490","Disease A",50,3,5,2,0,35,5,211,10624,80,9.037048547,1.617485644,2.227182348,3.602435475,53,2809,50,10624,80,45.4549931,53,2500
